week,time,user,price
0,0,gerhardt,119
0,1,gerhardt,92
0,2,gerhardt,109
0,3,gerhardt,108
0,4,gerhardt,77
0,5,gerhardt,71
0,6,gerhardt,66
0,7,gerhardt,98
0,8,gerhardt,128
0,9,gerhardt,64
0,10,gerhardt,56
0,11,gerhardt,126
0,0,harriett,89
0,1,harriett,86
0,2,harriett,82
0,3,harriett,78
0,4,harriett,74
0,5,harriett,69
0,6,harriett,66
0,7,harriett,62
0,8,harriett,58
0,9,harriett,54
0,10,harriett,49
0,11,harriett,46
0,0,thane,86
0,1,thane,82
0,2,thane,77
0,3,thane,73
0,4,thane,92
0,5,thane,142
0,6,thane,158
0,7,thane,163
0,8,thane,142
0,9,thane,52
0,10,thane,48
0,11,thane,43
0,0,lamar,91
0,1,lamar,88
0,2,lamar,83
0,3,lamar,79
0,4,lamar,134
0,5,lamar,149
0,6,lamar,427
0,7,lamar,161
0,8,lamar,135
0,9,lamar,91
0,10,lamar,44
0,11,lamar,41
1,0,rosabella,117
1,1,rosabella,145
1,2,rosabella,121
1,3,rosabella,143
1,4,rosabella,143
1,5,rosabella,135
1,6,rosabella,69
1,7,rosabella,64
1,8,rosabella,134
1,9,rosabella,72
1,10,rosabella,64
1,11,rosabella,59
1,0,mordecai,94
1,1,mordecai,89
1,2,mordecai,85
1,3,mordecai,80
1,4,mordecai,76
1,5,mordecai,73
1,6,mordecai,68
1,7,mordecai,64
1,8,mordecai,61
1,9,mordecai,56
1,10,mordecai,53
1,11,mordecai,48
1,0,lindy,93
1,1,lindy,89
1,2,lindy,85
1,3,lindy,82
1,4,lindy,138
1,5,lindy,110
1,6,lindy,160
1,7,lindy,182
1,8,lindy,168
1,9,lindy,72
1,10,lindy,67
1,11,lindy,63
1,0,cyrill,92
1,1,cyrill,87
1,2,cyrill,83
1,3,cyrill,143
1,4,cyrill,161
1,5,cyrill,509
1,6,cyrill,210
1,7,cyrill,112
1,8,cyrill,95
1,9,cyrill,77
1,10,cyrill,58
1,11,cyrill,50
2,0,davina,88
2,1,davina,115
2,2,davina,94
2,3,davina,113
2,4,davina,94
2,5,davina,63
2,6,davina,57
2,7,davina,109
2,8,davina,105
2,9,davina,61
2,10,davina,55
2,11,davina,49
2,0,tiebout,82
2,1,tiebout,78
2,2,tiebout,74
2,3,tiebout,71
2,4,tiebout,67
2,5,tiebout,63
2,6,tiebout,60
2,7,tiebout,56
2,8,tiebout,52
2,9,tiebout,47
